Qty,Value,Device,Package,Parts,Description,Unit Price,Total Price,SMT,THT,Original,Remark
4,0.1uF,WCAP-CSGP_0805_885012006018_WAVE,WCAP-CSGP_0805_WAVE,"C3, C5, C9, C10",WCAP-CSGP Ceramic Capacitors,0.000 ,0.000 ,8 ,,N,
2,22,22OHM-0805-1/4W-1%,805,"R4, R5",22Ω resistor,0.000 ,0.000 ,4 ,,N,
1,545500571,545500571,545500571,JOYSTICK,Joystick FFC Connector,1.354 ,1.354 ,7 ,,Y,
1,1-1734839-4,1-1734839-4,TE_1-1734839-4,J2,Conn FPC Connector SKT 14 POS 0.5mm Solder RA SMD T/R,1.081 ,1.081 ,14 ,,Y,
3,1.0uF,WCAP-CSGP_0805_885012006018_WAVE,WCAP-CSGP_0805_WAVE,"C6, C7, C8",WCAP-CSGP Ceramic Capacitors,0.020 ,0.060 ,6 ,,N,
3,10k,10KOHM-0603-1/10W-1%,603,"R1, R6, R7",10kΩ resistor,0.000 ,0.000 ,6 ,,N,
1,10uF,WCAP-CSGP_0805_885012006018_WAVE,WCAP-CSGP_0805_WAVE,C4,WCAP-CSGP Ceramic Capacitors,0.020 ,0.020 ,2 ,,N,
1,16MHz,CRYSTAL-16MHZSMD-5X3.2,CRYSTAL-SMD-5X3.2-4PAD,Y1,16MHz Crystal,0.500 ,0.500 ,4 ,,N,5TJ416000NYGBC
2,22pF,22PF-0603-50V-5%,603,"C1, C2",22pF ceramic capacitors,0.000 ,0.000 ,4 ,,N,
2,330,300OHM-0603-1/10W-1%,603,"R2, R3",1.6kΩ resistor,0.000 ,0.000 ,4 ,,N,
1,A,EVQ-Q2B03W,EVQQ2_3,A,Tact Switch,0.330 ,0.330 ,4 ,,N,
1,ATMEGA32U4-AU,ATMEGA32U4-AU,QFP80P1200X1200X120-44N,ATMEGA32U4-AU,8-bit Microcontroller with ISP Flash and USB Controller Check prices,25.904 ,25.904 ,44 ,,Y,
1,B,EVQ-Q2B03W,EVQQ2_3,B,Tact Switch,0.330 ,0.330 ,4 ,,N,
1,GREEN,LED-GREEN0603,LED-0603,D1,Green SMD LED,0.030 ,0.030 ,2 ,,N,
1,SKRTLAE010,SKRTLAE010,SW3_SKRTLAE010_ALPS,RT1,Shoulder Button,0.500 ,0.500 ,5 ,,N,
1,START,EVQ-Q2B03W,EVQQ2_3,START,Tact Switch,0.330 ,0.330 ,4 ,,N,
1,T2,EVQ-Q2B03W,EVQQ2_3,RT2,Tact Switch,0.330 ,0.330 ,4 ,,N,
1,X,EVQ-Q2B03W,EVQQ2_3,X,Tact Switch,0.330 ,0.330 ,4 ,,N,
1,Y,EVQ-Q2B03W,EVQQ2_3,Y,Tact Switch,0.330 ,0.330 ,4 ,,N,
1,Yellow,LED-YELLOW0603,LED-0603,D2,Yellow SMD LED 0603,0.030 ,0.030 ,2 ,,N,
,,,,,,Total,31.459 ,136 ,0 ,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,s,,,,,
